Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_82,11045054502,123.072,40,52000000
gmm_83,13053245549,120.664,48,63000000
gmm_84,4016385614,88.075,20,19000000
gmm_85,8032767794,97.785,72,37000000
gmm_86,8032767946,96.068,48,40000000
gmm_87,12049150274,110.125,52,57000000
gmm_88,10040958876,135.379,42,49000000
gmm_89,5020481141,118.46,18,25000000
gmm_90,6024576764,153.708,16,27000000
gmm_91,8032767922,119.074,33,39000000
gmm_92,8032767954,104.376,48,36000000
gmm_93,6024576764,105.086,52,26000000
gmm_94,12049150154,121.304,54,58000000
gmm_95,5020481246,118.531,12,23000000
gmm_96,11045054623,130.311,45,51000000
gmm_97,9036863390,107.314,40,44000000
gmm_98,6024576794,92.347,42,29000000
gmm_99,4016385554,110.916,12,17000000
gmm_100,6024576728,89.541,35,28000000
gmm_101,15061436591,117.302,200,75000000
gmm_102,30122870036,110.193,200,150000000
gmm_103,15061436906,139.646,1000,75000000
gmm_104,30122870126,136.608,1000,150000000
gmm_105,45184303316,142.092,1000,225000000
gmm_106,2008194496,104.394,20,10000000
gmm_107,4016385566,93.964,20,20000000
gmm_108,6024576782,110.849,20,30000000
gmm_109,8032767874,180.562,20,40000000
gmm_110,10040958836,165.995,20,50000000
gmm_111,12049149902,219.709,20,60000000
gmm_112,14057341142,284.652,20,70000000
gmm_113,16065532394,453.519,20,80000000
gmm_114,18073723574,336.254,20,90000000
gmm_115,20081914746,515.455,20,100000000
gmm_116,6024576608,351.922,5,30000000
gmm_117,6024576698,190.316,10,30000000
gmm_118,6024576668,186.159,15,30000000
gmm_119,6024576710,150.96,20,30000000
gmm_120,6024576710,115.84,25,30000000
gmm_121,6024576716,133.003,30,30000000
gmm_122,6024576728,107.347,35,30000000
gmm_123,6024576680,94.007,40,30000000
gmm_124,6024576692,101.71,45,30000000
gmm_125,6024576722,103.263,50,30000000
